VEND;CNPJ;CLIENTE;DIA;TIPO;LATITUDE;LONGITUDE
aurea;2,79E+13;AB BOSQUE COMERCIO DE A;22/05/2026;MANUTENCAO;-1,3704295;-48,4471231
aurea;4,38E+13;AGRO PINHEIRO COMERCIO;22/05/2026;MANUTENCAO;-1,4261634;-48,4550135
aurea;5,06E+12;ALBERTO SOUSA E CIA LTD;07/05/2026;MANUTENCAO;-1,45996;-48,5055458
aurea;4,57E+12;AMARAL COSTA MEDICINA D;13/05/2026;MANUTENCAO;-1,4451221;-48,4854128
aurea;1,11E+13;ANA BOLSAS COMERCIO LTD;13/05/2026;MANUTENCAO;-1,4448104;-48,4895425
aurea;1,11E+13;ARMAZEM BELEM COMERCIO;13/05/2026;MANUTENCAO;-1,4461383;-48,4896874
aurea;2,96E+10;ARNOVALDO PEREIRA FIGUE;04/05/2026;MANUTENCAO;-1,4207503;-48,461374
aurea;7,91E+12;ART FESTA COM FOGOS LTD;08/05/2026;MANUTENCAO;-1,4008979;-48,4346327
aurea;5,00E+13;AUDIO PRO LTDA (C3);20/05/2026;MANUTENCAO;-1,4526;-48,4988
aurea;6,23E+12;BATISTA E PINHEIRO ESTE;05/05/2026;MANUTENCAO;-1,4459544;-48,4834183
aurea;4,83345E+12;BELEM HOTEIS E TURISMO;12/05/2026;MANUTENCAO;-1,4535709;-48,4943561
aurea;3,46E+13;BRASIL SHOPPING EIRELI;12/05/2026;MANUTENCAO;-1,4332753;-48,46425
aurea;3,95E+13;CARNEIRO COMERCIO DE MA;06/05/2026;MANUTENCAO;-1,4509314;-48,4980831
aurea;4,38E+12;CASA DO PAPEL LTDA EPP;20/05/2026;MANUTENCAO;-1,4522865;-48,502312
aurea;5,22E+13;CITRINO TECH SEGURANCA;08/05/2026;MANUTENCAO;-1,4062129;-48,4371244
aurea;8,34E+13;CONDOMINIO VOLUNTARIO P;21/05/2026;MANUTENCAO;-1,4580554;-48,4951158
aurea;5,18E+13;D B PRODUTOS ALIMENTICI;04/05/2026;MANUTENCAO;-1,2935859;-47,9323639
aurea;3,63E+13;DARLENE S. DA SILVA;06/05/2026;MANUTENCAO;-1,4544945;-48,5018126
aurea;8,99E+12;DENSUL COMERCIO, IMPORT;04/05/2026;MANUTENCAO;-1,3723;-48,41
aurea;2,32E+13;DENTAL SHOPPING EIRELI;21/05/2026;MANUTENCAO;-1,4584145;-48,495723
aurea;2,49E+13;E LAURIANO DE LIMA;07/05/2026;MANUTENCAO;-1,4511401;-48,4990238
aurea;1,57E+13;E W ECONORTE COM DE PEC;04/05/2026;MANUTENCAO;-1,3607;-48,3964
aurea;6,96E+12;ECONOMICO COMERCIO DE A;13/05/2026;MANUTENCAO;-1,4088674;-48,4486527
aurea;7,64E+12;F S P DE ARAUJO;06/05/2026;MANUTENCAO;-1,4544945;-48,5018126
aurea;1,52E+13;FESTIVA COMERCIO DE ART;06/05/2026;MANUTENCAO;-1,4508595;-48,4994027
aurea;4,56E+13;GABI FESTAS E VARIEDADE;20/05/2026;MANUTENCAO;-1,4524167;-48,5024336
aurea;3,02E+13;HANAN EL ALI ABOU EZZED;20/05/2026;MANUTENCAO;-1,4496708;-48,5005961
aurea;8,33E+13;HEMOCARD COMERCIO DE MA;12/05/2026;MANUTENCAO;-1,3866;-48,4079
aurea;2,74E+13;I G DOS SANTOS DE OLIVE;14/05/2026;MANUTENCAO;-1,434425;-48,4541053
aurea;7,90E+12;IMBRASIL CACA E PESCA L;07/05/2026;MANUTENCAO;-1,4577;-48,505
aurea;1,53E+13;IMPERADOR DAS MAQUINAS;05/05/2026;MANUTENCAO;-1,4449654;-48,491722
